labels,data
398240.a.796480.1,"[[0, 3, 2, 1, 1], [1, 1, 1, 1]]"
398243.a.398243.1,"[[4, 3, -2, 0, 1, -1, -1], [1, 1, 0, 1]]"
398246.a.796492.1,"[[1, -3, 5, -3, -1, 1], [0, 1, 0, 1]]"
398277.a.398277.1,"[[-1, -2, 0, 3, 3, 0, -1], [1, 0, 0, 1]]"
398296.a.796592.1,"[[0, 1, -6, 8, 0, 2], [0, 1]]"
398331.a.398331.1,"[[-1, 1, -1, 0, -1, 1, -1], [1, 1, 0, 1]]"
398341.a.398341.1,"[[-1, -6, -8, 0, 2, -1], [1, 1, 1]]"
398362.a.398362.1,"[[0, 0, 0, 3, -2, 1], [1, 1]]"
398378.a.398378.1,"[[-1, 1, 0, 1, -3, 1], [0, 1, 0, 1]]"
398425.a.398425.1,"[[0, -2, 4, 0, 1, -3, 1], [1]]"
398439.a.398439.1,"[[-1, -2, 0, 1, -1], [0, 1, 1, 1]]"
398452.a.796904.1,"[[0, 2, 3, 2, 1, 1], [0, 1, 1]]"
398453.a.398453.1,"[[-1, -2, -3, -2, -1, 1], [1, 0, 1]]"
398458.a.398458.1,"[[2, 6, 6, 3], [0, 1, 0, 1]]"
398464.a.398464.1,"[[0, -1, 3, -3, 2], [0, 1, 0, 1]]"
398520.a.797040.1,"[[0, 1, 4, 0, -5, 2], [0, 1]]"
398528.a.398528.1,"[[9, 22, -1, -59, -77, -38, -5], [0, 1]]"
398528.b.797056.1,"[[-3, 10, -11, -3, 13, -6, -1], [1]]"
398560.a.398560.1,"[[-10, 3, -7, -5, 0, -2, -1], [1, 1]]"
398570.a.797140.1,"[[-5, 5, 6, -3, -1, 1], [1, 0, 0, 1]]"
398588.a.398588.1,"[[-20, 30, -8, -6, 0, 1], [1, 1, 1]]"
398592.a.398592.1,"[[3, -6, 8, -4, 1, 1], []]"
398598.a.797196.1,"[[1, 3, 5, 5, 2, 1], [0, 1]]"
398621.a.398621.1,"[[7, 3, -6, -5, 0, 1], [0, 0, 0, 1]]"
398653.a.398653.1,"[[1, -4, 2, 0, 2], [1, 0, 1, 1]]"
398656.a.398656.1,"[[7, 2, 9, 2, 3], [0, 0, 1, 1]]"
398672.a.797344.1,"[[-1, -3, -4, -2, 1, 2], [1, 1]]"
398693.a.398693.1,"[[1, 0, 0, 8, 8, 1], [0, 1]]"
398695.a.398695.1,"[[-14, -55, -54, 14, 27, 5], [1, 0, 0, 1]]"
398702.a.797404.1,"[[-11, 15, 2, -7, -1, 1], [1, 0, 0, 1]]"
398725.a.398725.1,"[[0, 1, 0, -6, -4, -1], [1, 1, 1]]"
398779.a.398779.1,"[[-3, 13, -23, 24, -14, 1], [0, 0, 1]]"
398806.a.797612.1,"[[1, 5, 5, -1, -5, 1], [0, 1, 0, 1]]"
398828.a.398828.1,"[[385, 521, 128, -68, -18, 4], [1, 0, 0, 1]]"
398853.a.398853.1,"[[6, 1, -7, -1], [0, 1, 1, 1]]"
398912.a.797824.1,"[[0, 3, 3, -15, 10, 0, -1], [1]]"
398923.a.398923.1,"[[0, 0, -1, 2, 1, 1], [1, 1, 0, 1]]"
398925.a.398925.1,"[[0, 0, -1, 1, -2, 0, -1], [1, 1, 0, 1]]"
398925.b.398925.1,"[[-1, 0, -1, 2, 0, 0, -1], [1, 0, 0, 1]]"
398933.a.398933.1,"[[-1, -3, -6, -4, 0, 1], [0, 0, 0, 1]]"
398976.a.398976.1,"[[0, 1, -3, 3], [0, 1, 0, 1]]"
398995.a.398995.1,"[[0, 1, 1, -6, 3], [0, 1, 0, 1]]"
399013.a.399013.1,"[[0, 0, 1, -3, 1, -1, 1], [1, 1]]"
399043.a.399043.1,"[[7, -33, 40, -18, 0, 1], [1, 1, 1]]"
