labels,torsion_primes
1042.a.1042.1,{3}
1047.a.3141.1,"{2, 5}"
1051.a.1051.1,{}
1051.b.1051.1,{2}
1051.b.1051.2,{2}
1055.a.1055.1,"{2, 3}"
1062.a.6372.1,{2}
1069.a.1069.1,{7}
1070.a.2140.1,{2}
1077.a.1077.2,{2}
1077.a.1077.1,{2}
1077.b.1077.1,{5}
1077.b.1077.2,{}
1091.a.1091.1,{7}
1094.a.2188.1,{}
1104.a.17664.1,"{2, 5}"
1109.a.1109.1,{}
1109.b.1109.1,{7}
1109.c.1109.1,{5}
1116.a.214272.1,"{3, 13}"
1122.b.2244.1,"{2, 3}"
1123.a.1123.1,{2}
1127.a.1127.1,{}
1136.a.9088.1,"{2, 7}"
1136.a.290816.1,"{2, 7}"
1137.a.1137.1,"{2, 3}"
1142.a.2284.1,"{2, 5}"
1142.b.9136.1,"{2, 3}"
1145.a.1145.1,{2}
1145.a.143125.1,{2}
1146.a.2292.1,"{2, 3}"
1147.a.35557.1,{2}
1147.a.35557.2,{2}
1148.a.8036.1,"{2, 5}"
1148.a.47068.1,"{2, 5}"
1164.a.1164.1,{5}
1164.b.670464.1,"{3, 7}"
1180.a.18880.1,"{2, 3}"
1184.a.2368.1,{2}
1184.a.606208.2,{2}
1184.a.606208.1,{2}
1192.a.19072.1,"{2, 11}"
1197.a.10773.1,"{2, 5}"
1197.a.410571.1,"{2, 5}"
1198.a.2396.1,{}
1205.a.1205.1,{}
1207.a.1207.1,{}
1216.a.1216.1,"{2, 3}"
1216.a.19456.1,{2}
1231.a.1231.1,{7}
1239.a.8673.1,"{2, 3}"
1253.a.1253.1,{}
1253.b.1253.1,{}
1258.a.21386.1,"{2, 5}"
1269.a.1269.1,{}
1269.b.102789.1,"{2, 5}"
1269.b.102789.2,"{2, 5}"
1270.a.1270.1,"{2, 3}"
1270.a.325120.1,{2}
1272.a.122112.1,"{2, 3}"
1280.a.12800.1,"{2, 3}"
1284.a.5136.1,"{2, 5}"
1285.a.1285.1,{7}
1309.a.9163.1,{2}
1309.a.9163.2,{2}
1311.a.814131.1,{2}
1312.a.2624.1,{2}
1312.b.10496.1,"{2, 3}"
1312.b.83968.1,"{2, 3}"
1312.c.671744.1,"{2, 11}"
1327.a.1327.1,{}
1328.a.1328.1,{2}
1328.a.84992.1,{2}
1333.a.41323.1,"{2, 5}"
1338.a.2676.1,{2}
1338.b.72252.1,"{2, 3}"
1343.a.1343.1,{}
1343.b.1343.1,{}
1345.a.6725.1,"{2, 5}"
1376.a.2752.1,{2}
1376.b.176128.1,"{2, 3}"
1377.a.37179.1,"{2, 3}"
1383.a.4149.1,{}
1385.a.6925.1,{}
1397.a.1397.1,{}
1403.a.1403.1,{}
1408.a.180224.1,"{2, 3}"
1408.b.180224.2,{2}
1408.b.180224.1,{2}
1408.b.720896.1,{2}
1408.b.720896.2,{2}
1415.a.1415.1,{2}
1416.a.8496.1,"{2, 3}"
1416.b.135936.1,"{2, 7}"
1445.a.122825.1,{2}
1462.a.11696.1,"{2, 5}"
1468.a.2936.1,{}
1468.b.5872.1,"{3, 5}"
1472.a.5888.1,{2}
1472.a.94208.1,{2}
1472.a.94208.2,{2}
1473.a.1473.1,"{2, 3}"
1488.a.71424.1,"{2, 3}"
1490.a.1490.1,{2}
1497.a.1497.1,{}
1497.b.13473.1,{}
1499.a.1499.1,{}
1503.a.4509.1,{}
1519.a.1519.1,{}
1524.a.780288.1,{2}
1532.a.1532.1,{5}
1532.a.392192.1,{}
1534.a.3068.1,{2}
1536.a.12288.1,"{2, 3}"
1544.a.3088.1,{}
1549.a.1549.1,{}
1573.b.224939.1,{2}
1575.a.23625.1,{2}
1575.a.165375.1,{2}
1589.a.1589.1,{5}
1595.a.231275.1,{2}
1611.a.14499.1,"{2, 5}"
1612.a.3224.1,{}
1624.a.831488.1,{2}
